candidate_name,gender,photo_name
Kirnesh Jung,M,p-list2-096.png
Sukh Ram,M,p-list2-097.png
Meena Kumari,F,p-list2-098.png
Surender,M,p-list2-099.png
Kedar Singh Jindan,M,p-list2-100.png
Baldev Singh,M,p-list2-101.png
Harshwardhan Chauhan,M,p-list2-102.png
Mani Ram,M,p-list2-103.png
Balvir Singh Verma,M,p-list2-104.png
Dr.Subhash Chand Manglate,M,p-list2-105.png
Hari Chand,M,p-list2-106.png
Hari Singh Panwar,M,p-list2-107.png
Deepak Kumar,M,p-list2-108.png
Rakesh Verma,M,p-list2-109.png
Rakesh Singha,M,p-list2-110.png
Devi Ram Sharma,M,p-list2-111.png
Roshan Lal,M,p-list2-112.png
Anirudh Singh,M,p-list2-113.png
Kuldip Singh Tanwar,M,p-list2-114.png
Ramesh Kumar,M,p-list2-115.png
Vijay Jyoti,F,p-list2-116.png
Inder Singh,M,p-list2-117.png
Dev Raj Bhardwaj,M,p-list2-118.png
Madan Mohan Thakur,M,p-list2-119.png
Suresh Bhardwaj,M,p-list2-120.png
Sanjay Chauhan,M,p-list2-121.png
Harbhajan Singh Bhajji,M,p-list2-122.png
Dr. Kishori Lal Sharma,M,p-list2-123.png
Virender Kumar,M,p-list2-124.png
Harish Janartha,M,p-list2-125.png
Pramod Kumar Sharma,M,p-list2-126.png
Vikramaditya Singh,M,p-list2-127.png
Kushal Raj,M,p-list2-128.png
Mohan Dass,M,p-list2-129.png
Narinder Bragta,M,p-list2-130.png
Rohit Thakur,M,p-list2-131.png
Lokinder Singh,M,p-list2-132.png
Nand Lal,M,p-list2-133.png
Prem Singh Draik,M,p-list2-134.png
Vivek Kashyap,M,p-list2-135.png
Suresh Singh,M,p-list2-136.png
Singhi Ram,M,p-list2-137.png
Mohan Lal Brakta,M,p-list2-138.png
Shashi Bala,F,p-list2-139.png
Shurvir Singh,M,p-list2-140.jpg
Narayan Chand,M,p-list2-141.png
Kailash Chand,M,p-list2-142.png
Jagat Singh Negi,M,p-list2-143.png
Jeevan Singh,M,p-list2-144.png
Tejwant Singh Negi,M,p-list2-145.png
Rajeev Kumar Negi,M,p-list2-146.png
